,0,1,2
2016,CD4 Naive,CD4+ Naive T,CD4 Naive
2017,CD4 Naive,CD4+ Naive T,CD4 Naive
2018,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2019,CD8 Naive,CD8+ Naive T,CD8 Naive
2020,,CD8+ Effector Memory T,CD8 TEM
2021,NK cell,NK cell,NK
2022,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2023,NK cell,NK cell,NK
2024,CD4 Naive,CD4+ Naive T,CD4 Naive
2025,CD4 Naive,CD4+ Naive T,CD4 Naive
2026,CD4 Memory,CD4+ Naive T,CD4 Naive
2027,CD4 Naive,CD4+ Naive T,CD4 Naive
2028,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2029,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2030,CD8 Naive,CD8+ Naive T,CD8 Naive
2031,B cell progenitor,Dendritic Cells,B intermediate
2032,CD8 Naive,CD8+ Naive T,CD8 Naive
2033,CD8 Naive,CD8+ Naive T,CD8 Naive
2034,CD4 Naive,CD4+ Naive T,CD4 Naive
2035,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2036,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2037,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2038,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2039,CD8 Naive,CD8+ Naive T,CD8 Naive
2040,NK cell,NK cell,NK
2041,pre-B cell,Dendritic Cells,B naive
2042,CD4 Naive,CD4+ Naive T,CD4 Naive
2043,NK cell,NK cell,NK
2044,CD8 Naive,CD8+ Naive T,CD8 Naive
2045,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2046,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2047,CD4 Naive,CD4+ Naive T,CD4 Naive
2048,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2049,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2050,CD4 Naive,CD4+ Naive T,CD4 Naive
2051,CD4 Naive,CD4+ Naive T,CD4 Naive
2052,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2053,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2054,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2055,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2056,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2057,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2058,NK cell,NK cell,NK
2059,CD8 Naive,CD8+ Naive T,CD8 Naive
2060,CD8 Naive,CD8+ Naive T,CD8 Naive
2061,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2062,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2063,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2064,NK cell,NK cell,NK
2065,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2066,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2067,CD8 Naive,CD8+ Naive T,CD8 Naive
2068,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2069,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2070,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2071,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2072,CD8 Naive,CD8+ Naive T,CD8 Naive
2073,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2074,Dendritic cell,CD14+ Monocytes,CD14 Mono
2075,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2076,CD4 Naive,CD4+ Naive T,CD4 Naive
2077,CD4 Naive,CD4+ Naive T,CD4 Naive
2078,CD14+ Monocytes,Dendritic Cells,CD16 Mono
2079,,Dendritic Cells,B naive
2080,CD4 Naive,CD4+ Naive T,CD4 Naive
2081,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2082,CD4 Naive,CD4+ Naive T,CD4 Naive
2083,CD8 Naive,CD8+ Naive T,CD8 Naive
2084,CD4 Naive,CD8+ Naive T,CD8 Naive
2085,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2086,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2087,NK cell,NK cell,NK
2088,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2089,CD4 Naive,CD4+ Naive T,CD4 Naive
2090,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2091,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2092,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2093,B cell progenitor,Dendritic Cells,B intermediate
2094,CD4 Naive,CD4+ Naive T,CD4 Naive
2095,CD4 Naive,CD4+ Naive T,CD4 Naive
2096,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2097,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2098,CD4 Naive,CD4+ Naive T,CD4 Naive
2099,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2100,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2101,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2102,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2103,CD8 Naive,CD8+ Naive T,CD8 Naive
2104,CD4 Memory,CD4+ Naive T,CD4 Naive
2105,B cell progenitor,Dendritic Cells,B intermediate
2106,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2107,CD8 Naive,CD8+ Naive T,CD8 Naive
2108,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2109,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2110,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2111,CD8 Naive,CD8+ Naive T,CD8 Naive
2112,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2113,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2114,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2115,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2116,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2117,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
2118,CD8 Naive,CD8+ Naive T,CD8 Naive
2119,CD4 Memory,CD4+ Naive T,CD4 Naive
2120,NK cell,NK cell,NK
2121,NK cell,NK cell,NK
2122,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2123,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2124,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2125,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2126,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2127,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2128,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2129,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2130,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2131,CD8 Naive,CD8+ Naive T,CD8 Naive
2132,CD8 Naive,CD8+ Naive T,CD8 Naive
2133,CD4 Naive,CD4+ Naive T,CD4 Naive
2134,CD4 Naive,CD4+ Naive T,CD4 Naive
2135,CD4 Memory,CD4+ Naive T,CD4 Naive
2136,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2137,pre-B cell,Dendritic Cells,B naive
2138,CD4 Naive,CD4+ Naive T,CD4 Naive
2139,CD4 Naive,CD4+ Naive T,CD4 Naive
2140,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2141,pDC,pDC,pDC
2142,CD4 Naive,CD4+ Naive T,CD4 Naive
2143,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
2144,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2145,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2146,CD8 Naive,CD8+ Naive T,CD8 Naive
2147,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2148,CD4 Naive,CD4+ Naive T,CD4 Naive
2149,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2150,CD8 Naive,CD8+ Naive T,CD8 Naive
2151,CD4 Naive,CD4+ Naive T,CD4 Naive
2152,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2153,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
2154,CD8 Naive,CD8+ Naive T,CD8 Naive
2155,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
2156,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2157,CD4 Naive,CD4+ Naive T,CD4 Naive
2158,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2159,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2160,NK cell,NK cell,NK
2161,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2162,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2163,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2164,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2165,CD8 Naive,CD8+ Naive T,CD8 Naive
2166,B cell progenitor,CD14+ Monocytes,CD14 Mono
2167,CD8 Naive,CD8+ Naive T,CD8 Naive
2168,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2169,Dendritic cell,Dendritic Cells,cDC2
2170,pre-B cell,Dendritic Cells,B naive
2171,CD4 Naive,CD4+ Naive T,CD4 Naive
2172,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2173,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2174,CD8 Naive,CD8+ Naive T,CD8 Naive
2175,NK cell,NK cell,NK
2176,CD4 Memory,CD4+ Naive T,CD4 Naive
2177,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2178,CD4 Memory,CD4+ Naive T,CD4 Naive
2179,pre-B cell,Dendritic Cells,B naive
2180,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2181,Dendritic cell,Dendritic Cells,cDC2
2182,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2183,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2184,CD4 Naive,CD4+ Naive T,CD4 Naive
2185,CD4 Memory,CD4+ Naive T,CD4 Naive
2186,NK cell,NK cell,NK
2187,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2188,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2189,CD4 Naive,CD4+ Naive T,CD4 Naive
2190,B cell progenitor,Dendritic Cells,B intermediate
2191,CD8 Naive,CD8+ Naive T,CD8 Naive
2192,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2193,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2194,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2195,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2196,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2197,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2198,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2199,NK cell,NK cell,NK
2200,CD4 Memory,CD4+ Naive T,CD4 Naive
2201,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2202,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2203,CD8 Naive,CD8+ Naive T,CD8 Naive
2204,CD4 Naive,CD4+ Naive T,CD4 Naive
2205,CD4 Naive,CD4+ Naive T,CD4 Naive
2206,CD8 Naive,CD8+ Naive T,CD8 Naive
2207,CD8 Naive,CD8+ Naive T,CD8 Naive
2208,CD4 Naive,CD4+ Naive T,CD4 Naive
2209,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2210,pre-B cell,Dendritic Cells,B naive
2211,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2212,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2213,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2214,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2215,CD4 Naive,CD4+ Naive T,CD4 Naive
2216,CD4 Naive,CD4+ Naive T,CD4 Naive
2217,CD8 Naive,CD8+ Naive T,CD8 Naive
2218,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2219,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2220,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
2221,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2222,B cell progenitor,Dendritic Cells,B intermediate
2223,CD8 Naive,CD8+ Naive T,CD8 Naive
2224,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2225,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2226,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2227,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2228,CD8 Naive,CD8+ Naive T,CD8 Naive
2229,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
2230,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2231,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2232,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2233,B cell progenitor,Dendritic Cells,B intermediate
2234,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2235,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2236,CD4 Naive,CD4+ Naive T,CD4 Naive
2237,Dendritic cell,Dendritic Cells,cDC2
2238,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2239,CD8 Naive,CD8+ Naive T,CD8 Naive
2240,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2241,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2242,CD4 Naive,CD4+ Naive T,CD4 Naive
2243,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2244,CD4 Naive,CD14+ Monocytes,CD14 Mono
2245,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2246,CD8 Naive,CD8+ Naive T,CD8 Naive
2247,CD8 Naive,CD8+ Naive T,CD8 Naive
2248,CD8 Naive,CD8+ Naive T,CD8 Naive
2249,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2250,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2251,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2252,pDC,pDC,pDC
2253,pre-B cell,Dendritic Cells,B naive
2254,CD4 Memory,CD4+ Naive T,CD4 Naive
2255,B cell progenitor,Dendritic Cells,B intermediate
2256,CD8 Naive,CD8+ Naive T,CD8 Naive
2257,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2258,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
2259,CD8 Naive,CD8+ Naive T,CD8 Naive
2260,CD8 Naive,CD8+ Naive T,CD8 Naive
2261,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2262,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
2263,CD4 Memory,CD4+ Naive T,CD4 Naive
2264,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2265,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
2266,CD4 Naive,CD4+ Naive T,CD4 Naive
2267,pre-B cell,Dendritic Cells,B naive
2268,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2269,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2270,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
2271,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2272,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2273,B cell progenitor,Dendritic Cells,B intermediate
2274,Double negative T cell,CD4+ Central Memory T,CD4 TCM
2275,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2276,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2277,B cell progenitor,pDC,Plasmablast
2278,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2279,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2280,pre-B cell,Dendritic Cells,B naive
2281,CD4 Memory,CD4+ Naive T,CD4 Naive
2282,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2283,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2284,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2285,NK cell,NK cell,NK
2286,pDC,pDC,pDC
2287,CD4 Naive,CD4+ Naive T,CD4 Naive
2288,CD8 Naive,CD8+ Naive T,CD8 Naive
2289,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2290,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2291,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2292,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2293,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2294,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
2295,CD8 Naive,CD8+ Naive T,CD8 Naive
2296,B cell progenitor,Dendritic Cells,B intermediate
2297,CD4 Memory,CD4+ Naive T,CD4 Naive
2298,CD4 Naive,CD4+ Naive T,CD4 Naive
2299,B cell progenitor,Dendritic Cells,B intermediate
2300,CD8 Naive,CD8+ Naive T,CD8 Naive
2301,NK cell,NK cell,NK
2302,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2303,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2304,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2305,CD4 Memory,CD4+ Naive T,CD4 Naive
2306,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2307,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2308,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2309,CD4 Naive,CD4+ Naive T,CD4 Naive
2310,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2311,CD4 Naive,CD4+ Naive T,CD4 Naive
2312,CD8 Naive,CD8+ Naive T,CD8 Naive
2313,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2314,pre-B cell,Dendritic Cells,B naive
2315,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2316,CD8 Naive,CD8+ Naive T,CD8 Naive
2317,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2318,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2319,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2320,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2321,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2322,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2323,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2324,CD8 Naive,CD8+ Naive T,CD8 Naive
2325,CD4 Naive,CD4+ Naive T,CD4 Naive
2326,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2327,CD8 Naive,CD8+ Naive T,CD8 Naive
2328,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2329,CD8 Naive,CD8+ Naive T,CD8 Naive
2330,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
2331,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
2332,CD4 Memory,CD4+ Naive T,CD4 Naive
2333,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2334,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2335,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2336,CD4 Memory,CD4+ Naive T,CD4 Naive
2337,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2338,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2339,CD8 Naive,CD8+ Naive T,CD8 Naive
2340,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2341,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2342,CD8 Naive,CD8+ Naive T,CD8 Naive
2343,CD4 Naive,CD4+ Naive T,CD4 Naive
2344,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2345,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2346,CD4 Naive,CD4+ Naive T,CD4 Naive
2347,CD8 Naive,CD8+ Naive T,CD8 Naive
2348,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2349,NK cell,NK cell,NK
2350,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2351,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2352,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2353,CD4 Naive,CD4+ Naive T,CD4 Naive
2354,B cell progenitor,Dendritic Cells,B intermediate
2355,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2356,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2357,CD8 Naive,CD8+ Naive T,CD8 Naive
2358,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2359,pre-B cell,Dendritic Cells,B naive
2360,NK cell,NK cell,NK
2361,,CD14+ Monocytes,CD14 Mono
2362,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2363,B cell progenitor,Dendritic Cells,B intermediate
2364,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2365,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2366,B cell progenitor,Dendritic Cells,B naive
2367,CD8 Naive,CD8+ Naive T,CD8 Naive
2368,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2369,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2370,NK cell,CD8+ Effector Memory T,CD8 TEM
2371,CD4 Naive,CD4+ Naive T,CD4 Naive
2372,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2373,CD4 Naive,CD4+ Naive T,CD4 Naive
2374,CD4 Naive,CD4+ Naive T,CD4 Naive
2375,pDC,pDC,pDC
2376,pre-B cell,Dendritic Cells,B naive
2377,CD4 Naive,CD4+ Naive T,CD4 Naive
2378,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2379,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2380,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2381,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2382,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2383,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2384,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2385,B cell progenitor,Dendritic Cells,B intermediate
2386,CD4 Memory,CD4+ Naive T,CD4 Naive
2387,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2388,CD8 Naive,CD8+ Naive T,CD8 Naive
2389,CD4 Memory,CD4+ Naive T,CD4 Naive
2390,CD8 Naive,CD8+ Naive T,CD8 Naive
2391,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2392,B cell progenitor,Dendritic Cells,B intermediate
2393,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
2394,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2395,CD4 Naive,CD4+ Naive T,CD4 Naive
2396,CD4 Naive,CD4+ Naive T,CD4 Naive
2397,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2398,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2399,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2400,CD8 Naive,CD8+ Naive T,CD8 Naive
2401,,CD14+ Monocytes,CD14 Mono
2402,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2403,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2404,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2405,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2406,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2407,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
2408,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
2409,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2410,B cell progenitor,Dendritic Cells,B intermediate
2411,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2412,CD8 Naive,CD8+ Naive T,CD8 Naive
2413,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2414,CD14+ Monocytes,Dendritic Cells,CD16 Mono
2415,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2416,CD8 Naive,CD8+ Naive T,CD8 Naive
2417,B cell progenitor,Dendritic Cells,B intermediate
2418,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2419,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2420,CD8 Naive,CD8+ Naive T,CD8 Naive
2421,CD4 Memory,CD4+ Naive T,CD4 Naive
2422,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2423,Dendritic cell,Dendritic Cells,cDC2
2424,CD8 Naive,CD8+ Naive T,CD8 Naive
2425,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2426,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2427,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2428,pre-B cell,Dendritic Cells,B naive
2429,NK cell,NK cell,NK
2430,CD8 Naive,CD8+ Naive T,CD8 Naive
2431,CD4 Naive,CD4+ Naive T,CD4 Naive
2432,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2433,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2434,,CD14+ Monocytes,CD14 Mono
2435,CD8 Naive,CD8+ Naive T,CD8 Naive
2436,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2437,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2438,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2439,NK cell,NK cell,NK
2440,CD4 Naive,CD4+ Naive T,CD4 Naive
2441,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
2442,CD4 Naive,CD4+ Naive T,CD4 Naive
2443,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2444,CD4 Naive,CD8+ Naive T,CD8 Naive
2445,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2446,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2447,NK cell,NK cell,NK
2448,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2449,CD16+ Monocytes,Dendritic Cells,CD16 Mono
2450,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2451,CD4 Naive,CD4+ Naive T,CD4 Naive
2452,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2453,CD4 Naive,CD4+ Naive T,CD4 Naive
2454,NK cell,NK cell,NK
2455,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2456,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2457,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2458,CD8 Naive,CD8+ Naive T,CD8 Naive
2459,B cell progenitor,Dendritic Cells,B intermediate
2460,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
2461,CD8 Naive,CD8+ Naive T,CD8 Naive
2462,CD8 Naive,CD8+ Naive T,CD8 Naive
2463,CD8 Naive,CD8+ Naive T,CD8 Naive
2464,CD8 effector,CD8+ Effector Memory T,CD8 TEM
2465,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2466,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2467,B cell progenitor,Dendritic Cells,B intermediate
2468,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2469,NK cell,NK cell,NK
2470,CD4 Naive,CD4+ Naive T,CD4 Naive
2471,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2472,CD4 Naive,CD4+ Naive T,CD4 Naive
2473,CD4 Naive,CD4+ Naive T,CD4 Naive
2474,CD4 Memory,CD4+ Naive T,CD4 Naive
2475,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2476,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2477,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2478,CD4 Memory,CD4+ Naive T,CD4 Naive
2479,CD4 Naive,CD4+ Naive T,CD4 Naive
2480,pre-B cell,Dendritic Cells,B naive
2481,CD4 Naive,CD4+ Naive T,CD4 Naive
2482,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2483,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2484,CD4 Naive,CD4+ Naive T,CD4 Naive
2485,B cell progenitor,Dendritic Cells,B intermediate
2486,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2487,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2488,CD8 Naive,CD8+ Naive T,CD8 Naive
2489,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
